_id,length,end_node,start_node,street,street_level,street_name,street_type,slat,slng,elat,elng
33863,4,2233738917,4638941682,213720087,2,Quận Tân Bình,primary,106.6523997,106.6524377,10.7900565,10.7900498
33864,4,4638941682,2233738917,213720087,2,Quận Tân Bình,primary,106.6524481,106.6524101,10.7901088,10.7901155
33865,4,2233738925,2233738917,213720087,2,Đường Lý Thường Kiệt,primary,106.6524472,106.652487,10.7900496,10.7900553
33866,4,2233738917,2233738925,213720087,2,Quận Tân Bình,primary,106.6524784,106.6524386,10.7901147,10.790109
33867,4,4636764462,2233738925,213720087,2,Quận Tân Bình,primary,106.6524961,106.6525319,10.7900582,10.7900761
33868,4,2233738925,4636764462,213720087,2,Quận Tân Bình,primary,106.6525051,106.6524693,10.7901297,10.7901118
33869,4,4636764469,4636764462,213720087,2,Quận Tân Bình,primary,106.6525398,106.6525679,10.7900818,10.7901102
33870,4,4636764462,4636764469,213720087,2,Quận Tân Bình,primary,106.6525253,106.6524972,10.7901524,10.790124
33871,40,2061032828,2233736946,213721187,2,Lý Thường Kiệt,primary,106.6525598,106.6525413,10.7902449,10.7906127
33872,23,4638956986,2061032828,213721187,2,Lý Thường Kiệt,primary,106.6525413,106.6525467,10.7906127,10.7908196
33873,15,4638941677,4638956986,213721187,2,Lý Thường Kiệt,primary,106.6525467,106.6525607,10.7908196,10.7909603
33874,21,2061032840,4638941677,213721187,2,Lý Thường Kiệt,primary,106.6525607,106.6525961,10.7909603,10.7911498
33875,6,5769406341,2061032840,213721187,2,Lý Thường Kiệt,primary,106.6525961,106.6526134,10.7911498,10.7912048
33876,18,4638956680,5769406341,213721187,2,Lý Thường Kiệt,primary,106.6526134,106.652663,10.7912048,10.7913631
33877,23,366428560,4638956680,213721187,2,Lý Thường Kiệt,primary,106.652663,106.6527376,10.7913631,10.7915574
33878,24,4638941675,366428560,213721187,2,Lý Thường Kiệt,primary,106.6527376,106.6528267,10.7915574,10.7917572
33879,27,4638941674,4638941675,213721187,2,Lý Thường Kiệt,primary,106.6528267,106.6529447,10.7917572,10.7919749
33880,13,3116882997,4638941674,213721187,2,Lý Thường Kiệt,primary,106.6529447,106.6530084,10.7919749,10.7920819
33881,4,5769406332,3116882997,213721187,2,Lý Thường Kiệt,primary,106.6530084,106.6530263,10.7920819,10.7921192
33882,53,5467431341,5769406332,213721187,2,Lý Thường Kiệt,primary,106.6530263,106.6532361,10.7921192,10.7925552
33883,20,5467431348,5467431341,213721187,2,Lý Thường Kiệt,primary,106.6532361,106.6533342,10.7925552,10.7927137
33884,17,3806810443,5467431348,213721187,2,Lý Thường Kiệt,primary,106.6533342,106.6534232,10.7927137,10.7928485
33885,21,3806810445,3806810442,213721195,2,Hoàng Văn Thụ,primary,106.6533143,106.653427,10.7929004,10.7930588
33886,11,3806810446,3806810445,213721195,2,Hoàng Văn Thụ,primary,106.653427,106.6534883,10.7930588,10.7931421
33903,23,2233772198,4875814765,213724109,3,Đường Cách Mạng Tháng Tám,primary_link,106.6538735,106.6537366,10.7926289,10.7927913
33904,8,2233772193,2233772198,213724109,3,Đường Cách Mạng Tháng Tám,primary_link,106.6537366,106.6536937,10.7927913,10.7928519
33905,7,2233772191,2233772193,213724109,3,Hoàng Văn Thụ,primary_link,106.6536937,106.6536695,10.7928519,10.7929178
33906,6,2233772192,2233772191,213724109,3,Quận Tân Bình,primary_link,106.6536695,106.6536615,10.7929178,10.7929784
33907,8,2233772194,2233772192,213724109,3,Quận Tân Bình,primary_link,106.6536615,106.6536588,10.7929784,10.7930522
33910,47,4636764475,4636764459,213726068,2,Lý Thường Kiệt,primary,106.6527021,106.6525684,10.7897968,10.7902063
34013,24,4636764473,4636764460,213727081,2,Lý Thường Kiệt,primary,106.6526136,106.6526753,10.7897761,10.7895675
34014,9,4636764472,4636764473,213727081,2,Lý Thường Kiệt,primary,106.6526753,106.6527058,10.7895675,10.7894845
34152,84,2240979367,3164009009,214587018,1,Quốc lộ 1,trunk,106.6709533,106.6701808,10.8617766,10.8617682
34241,35,2240979368,2240979367,214587020,1,Cầu Rạch Sâu 2,trunk,106.6701808,106.6698565,10.8617682,10.8617614
34302,123,2240979363,2240979381,214588127,1,Cầu Bến Cát 2,trunk,106.6653626,106.6642329,10.8617444,10.8617199
34303,145,4069455197,2240979368,214588129,1,Quốc lộ 1,trunk,106.6698565,106.6685287,10.8617614,10.8617463
34304,150,2687996773,4069455197,214588129,1,Quốc lộ 1,trunk,106.6685287,106.6671551,10.8617463,10.8617479
34305,41,5767136176,2687996773,214588129,1,Quốc lộ 1,trunk,106.6671551,106.6667721,10.8617479,10.8617459
34306,22,5767136268,5767136176,214588129,1,Quốc lộ 1,trunk,106.6667721,106.6665642,10.8617459,10.8617448
34307,19,2240979377,5767136268,214588129,1,Quốc lộ 1,trunk,106.6665642,106.6663817,10.8617448,10.8617438
34308,111,2240979381,2240979377,214588129,1,Quốc lộ 1,trunk,106.6663817,106.6653626,10.8617438,10.8617444
34314,31,2242317811,2242317782,214756714,3,Hầm chui An Sương - N2,primary_link,106.6147948,106.6148443,10.8433822,10.8431015
34315,12,4069486250,2242317811,214756714,3,Quốc lộ 22,primary_link,106.6148443,106.6148604,10.8431015,10.8429911
34316,13,4069486251,4069486250,214756714,3,Quốc lộ 22,primary_link,106.6148604,106.614858,10.8429911,10.8428659
34317,12,2242317801,4069486251,214756714,3,Quốc lộ 22,primary_link,106.614858,106.6148462,10.8428659,10.8427545
34318,9,2242317798,2242317801,214756714,3,Xã Bà Điểm,primary_link,106.6148462,106.6148154,10.8427545,10.8426751
34319,11,4069486252,2242317798,214756714,3,Xã Bà Điểm,primary_link,106.6148154,106.6147804,10.8426751,10.8425774
34320,9,4069486249,4069486252,214756714,3,Quốc lộ 1A,primary_link,106.6147804,106.6147314,10.8425774,10.8425026
34321,16,2242317780,4069486249,214756714,3,Quốc lộ 1A,primary_link,106.6147314,106.6146497,10.8425026,10.842383
34322,21,4069486248,2242317780,214756714,3,Quốc lộ 1A,primary_link,106.6146497,106.614526,10.842383,10.8422299
34357,41,5817112627,5817112629,214768263,4,Trần Đại Nghĩa,tertiary,106.6003819,106.6007596,10.7223515,10.7222992
34358,11,5817112626,5817112627,214768263,4,Trần Đại Nghĩa,tertiary,106.6007596,106.6008657,10.7222992,10.7223263
34359,10,2242412990,5817112626,214768263,4,Trần Đại Nghĩa,tertiary,106.6008657,106.6009586,10.7223263,10.7223438
34453,30,366459351,2212534399,215037911,3,Lê Trọng Tấn,secondary,106.6009721,106.6012429,10.8162103,10.816145
34454,30,2212534399,366459351,215037911,3,Lê Trọng Tấn,secondary,106.6012569,106.6009861,10.8162034,10.8162687
34499,18,2353052600,2353052597,215069069,3,Nguyễn Thị Thập,secondary,106.718648,106.7184815,10.7382297,10.7382407
34500,18,2345127334,2353052600,215069069,3,Nguyễn Thị Thập,secondary,106.7184815,106.7183132,10.7382407,10.7382486
34645,29,4069492279,5655597835,215350714,1,Quốc lộ 1,trunk,106.6548877,106.6546184,10.861973,10.861991
34646,49,5767074242,4069492279,215350714,1,Quốc lộ 1,trunk,106.6546184,106.6541628,10.861991,10.8620129
34647,28,5767074235,5767074242,215350714,1,Quốc lộ 1,trunk,106.6541628,106.6539052,10.8620129,10.8620253
34648,89,3164009013,5767074235,215350714,1,Quốc lộ 1,trunk,106.6539052,106.653089,10.8620253,10.8620645
34649,31,2210883952,3164009013,215350714,1,Quốc lộ 1,trunk,106.653089,106.6527973,10.8620645,10.8620703
34659,26,4069456118,366409891,215350715,1,Cầu vượt Tân Thới Hiệp,trunk,106.6497679,106.650004,10.8619951,10.8620294
34660,25,2210883973,4069456118,215350715,1,Cầu vượt Tân Thới Hiệp,trunk,106.650004,106.6502324,10.8620294,10.8620547
34661,20,4069456116,2210883973,215350715,1,Cầu vượt Tân Thới Hiệp,trunk,106.6502324,106.6504229,10.8620547,10.8620633
34662,22,2210883956,4069456116,215350715,1,Cầu vượt Tân Thới Hiệp,trunk,106.6504229,106.6506288,10.8620633,10.8620627
34663,21,4069456117,2210883956,215350715,1,Cầu vượt Tân Thới Hiệp,trunk,106.6506288,106.6508249,10.8620627,10.8620592
34664,36,2210883969,4069456117,215350715,1,Cầu vượt Tân Thới Hiệp,trunk,106.6508249,106.6511597,10.8620592,10.862042
34665,75,4069456115,2210883969,215350715,1,Cầu vượt Tân Thới Hiệp,trunk,106.6511597,106.6518476,10.862042,10.8619981
34688,31,2247676289,2210883952,215350717,4,Quốc lộ 1,tertiary,106.6527973,106.6525174,10.8620703,10.8621261
