,_id,length,end_node,start_node,street,street_level,street_name,street_type,slng,elng,slat,elat,district,lng,lat
144,11160,43,366415275,366412916,32584015,4,Bến Cát,unclassified,106.6566859,106.6564377,10.7854106,10.7857206,Quận Tân Bình,106.65656179999999,10.7855656
145,11161,24,5772478040,366412916,32584015,4,Bến Cát,unclassified,106.6566393,106.6567799,10.7853728,10.7852009,Quận Tân Bình,106.6567096,10.785286849999999
146,11162,24,366412916,5772478040,32584015,4,Bến Cát,unclassified,106.6568263,106.6566857,10.7852389,10.7854108,Quận Tân Bình,106.656756,10.785324849999999
147,11169,7,5813728968,5813728969,32584146,4,Minh Phụng,tertiary,106.6431031,106.6431528,10.7540075,10.7540562,Quận 6,106.64312795000001,10.75403185
148,11170,5,5772562960,5813728968,32584146,4,Minh Phụng,tertiary,106.6431528,106.6431544,10.7540562,10.7541043,Quận 6,106.6431536,10.754080250000001
149,11171,10,5772562961,5772562960,32584146,4,Minh Phụng,tertiary,106.6431544,106.6431641,10.7541043,10.7542013,Quận 6,106.64315925,10.7541528
150,11172,10,4088944089,5772562961,32584146,4,Minh Phụng,tertiary,106.6431641,106.6431831,10.7542013,10.7542965,Quận 6,106.64317360000001,10.7542489
151,11173,10,5813728966,4088944089,32584146,4,Minh Phụng,tertiary,106.6431831,106.6431937,10.7542965,10.7543876,Quận 6,106.6431884,10.75434205
152,11174,30,4595643018,5813728966,32584146,4,Minh Phụng,tertiary,106.6431937,106.6432461,10.7543876,10.7546572,Quận 6,106.64321989999999,10.754522399999999
153,11175,10,5813728965,4595643018,32584146,4,Minh Phụng,tertiary,106.6432461,106.6432639,10.7546572,10.7547531,Quận 6,106.643255,10.75470515
154,11176,7,4595643000,5813728965,32584146,4,Minh Phụng,tertiary,106.6432639,106.6432741,10.7547531,10.754819,Quận 6,106.643269,10.75478605
155,11361,28,366409605,366459493,32584318,4,Đất Thánh,tertiary,106.6566531,106.6568623,10.7819684,10.782122,Quận Tân Bình,106.6567577,10.782045199999999
156,11362,28,366459493,366409605,32584318,4,Đất Thánh,tertiary,106.6568267,106.6566175,10.7821704,10.7820168,Quận Tân Bình,106.6567221,10.7820936
157,11363,30,4599617361,366409605,32584318,4,Đất Thánh,tertiary,106.6568662,106.6570558,10.7821255,10.7823239,Quận Tân Bình,106.656961,10.7822247
158,11364,30,366409605,4599617361,32584318,4,Đất Thánh,tertiary,106.6570124,106.6568228,10.7823653,10.7821669,Quận Tân Bình,106.6569176,10.782266100000001
159,11365,15,366375474,4599617361,32584318,4,Đất Thánh,tertiary,106.6570558,106.6571529,10.7823239,10.7824255,Quận Tân Bình,106.65710435,10.7823747
160,11366,15,4599617361,366375474,32584318,4,Đất Thánh,tertiary,106.6571095,106.6570124,10.7824669,10.7823653,Quận Tân Bình,106.65706095,10.782416099999999
161,11367,36,4608562274,366375474,32584318,4,Đất Thánh,tertiary,106.6571528,106.6573837,10.7824254,10.7826648,Quận Tân Bình,106.65726825,10.7825451
162,11368,36,366375474,4608562274,32584318,4,Đất Thánh,tertiary,106.6573405,106.6571096,10.7827064,10.782467,Quận Tân Bình,106.65722505,10.7825867
163,11369,3,2930594549,4608562274,32584318,4,Đất Thánh,tertiary,106.6573834,106.6574045,10.7826644,10.7826856,Quận Tân Bình,106.65739395,10.782675000000001
164,11370,3,4608562274,2930594549,32584318,4,Đất Thánh,tertiary,106.6573619,106.6573408,10.782728,10.7827068,Quận Tân Bình,106.65735135,10.7827174
165,11371,23,5295492420,2930594549,32584318,4,Đất Thánh,tertiary,106.6574056,106.657549,10.7826868,10.782847,Quận Tân Bình,106.65747730000001,10.7827669
166,11372,23,2930594549,5295492420,32584318,4,Đất Thánh,tertiary,106.6575042,106.6573608,10.782887,10.7827268,Quận Tân Bình,106.6574325,10.7828069
